ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
71762,FINE,440,51762,8454,40,18,-233,83,0,0,0,0,0
71962,FINE,440,51920,9576,38,18,211,-128,0,0,0,0,0
72162,FINE,440,52075,10561,40,18,-127,212,0,0,0,0,0
72362,FINE,440,52233,11479,38,18,82,-234,0,0,0,0,0
72562,FINE,440,52365,12192,38,18,165,-184,0,0,0,0,0
72762,FINE,440,52523,12995,42,18,-127,212,0,0,0,0,0
72962,FINE,440,52681,13751,38,18,82,-234,0,0,0,0,0
73162,FINE,440,52838,14159,36,18,-11,247,0,0,0,0,0
73362,FINE,440,52996,13426,44,18,-37,-245,0,0,0,0,0
73562,FINE,440,53157,12636,34,18,12,247,0,0,0,0,0
73762,FINE,440,53315,11808,44,18,-61,-240,0,0,0,0,0
73962,FINE,440,53482,10866,40,18,-105,224,0,0,0,0,0
74162,FINE,440,53638,9904,44,18,10,-248,0,0,0,0,0
74362,FINE,440,53799,8803,34,18,-36,244,0,0,0,0,0
74562,FINE,440,53960,7542,40,18,59,-241,0,0,0,0,0
74762,FINE,440,54119,6044,34,18,-36,244,0,0,0,0,0
74962,FINE,440,54280,3991,38,18,59,-241,0,0,0,0,0
80170,ACCEL,1000,55330,55,2,18,86,231,0,0,0,0,0
80370,ACCEL,1000,55348,197,2,18,-245,36,0,0,0,0,0
80570,ACCEL,1000,55384,333,4,18,240,59,0,0,0,0,0
80770,ACCEL,1000,55437,465,4,18,165,-184,0,0,0,0,0
80970,ACCEL,1000,55501,587,20,18,165,-184,0,0,0,0,0
81170,ACCEL,1000,55580,709,18,18,199,146,0,0,0,0,0
81370,ACCEL,1000,55657,810,22,18,-83,233,0,0,0,0,0
81570,ACCEL,1000,55736,902,24,18,-241,-60,0,0,0,0,0
81770,ACCEL,1000,55815,986,20,18,35,-245,0,0,0,0,0
81970,ACCEL,1000,55959,1122,40,18,244,35,0,0,0,0,0
82170,ACCEL,1000,56116,1254,42,18,-245,36,0,0,0,0,0
82370,ACCEL,1000,56270,1372,40,18,182,-167,0,0,0,0,0
82570,ACCEL,1000,56427,1482,42,18,-127,212,0,0,0,0,0
82770,ACCEL,1000,56582,1583,44,18,10,-248,0,0,0,0,0
82970,ACCEL,1000,56737,1678,36,18,106,223,0,0,0,0,0
83170,ACCEL,1000,56894,1769,44,18,-167,-183,0,0,0,0,0
83370,ACCEL,1000,57048,1721,36,18,240,59,0,0,0,0,0
83570,ACCEL,1000,57205,1627,44,18,-248,12,0,0,0,0,0
83770,ACCEL,1000,57360,1529,38,18,211,-128,0,0,0,0,0
83970,ACCEL,1000,57517,1422,42,18,-166,183,0,0,0,0,0
84170,ACCEL,1000,57671,1310,46,18,35,-245,0,0,0,0,0
84370,ACCEL,1000,57826,1186,36,18,83,232,0,0,0,0,0
84570,ACCEL,1000,57983,1045,44,18,-148,-199,0,0,0,0,0
84770,ACCEL,1000,58086,941,16,18,-11,247,0,0,0,0,0
84970,ACCEL,1000,58165,853,22,18,-248,12,0,0,0,0,0
85170,ACCEL,1000,58245,754,24,18,-13,-248,0,0,0,0,0
85370,ACCEL,1000,58322,644,20,18,232,-84,0,0,0,0,0
85570,ACCEL,1000,58401,506,18,18,106,223,0,0,0,0,0
85770,ACCEL,1000,58455,385,10,18,244,35,0,0,0,0,0
85970,ACCEL,1000,58499,246,2,18,-61,-240,0,0,0,0,0
86170,ACCEL,1000,58524,104,2,18,199,146,0,0,0,0,0
86370,ACCEL,1000,58523,-114,2,18,212,126,0,0,0,0,0
86570,ACCEL,1000,58496,-258,0,18,-128,-212,1,0,0,0,0
86770,ACCEL,1000,58451,-396,4,18,239,-61,0,0,0,0,0
86970,ACCEL,1000,58395,-518,16,18,212,126,0,0,0,0,0
87170,ACCEL,1000,58318,-650,24,18,182,-167,0,0,0,0,0
87370,ACCEL,1000,58239,-762,20,18,-148,-199,0,0,0,0,0
87570,ACCEL,1000,58161,-858,18,18,-224,106,0,0,0,0,0
87770,ACCEL,1000,58082,-946,22,18,83,232,0,0,0,0,0
87970,ACCEL,1000,57976,-1052,40,18,-241,-60,0,0,0,0,0
88170,ACCEL,1000,57822,-1189,16,18,166,182,0,0,0,0,0
88370,ACCEL,1000,57676,-1306,46,18,146,-200,0,0,0,0,0
88570,ACCEL,1000,57519,-1421,34,18,-199,147,0,0,0,0,0
88770,ACCEL,1000,57376,-1518,40,18,127,211,0,0,0,0,0
